Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,No,Non-Travel,849,Research & Development,28,2,Technical Degree,1,4769,4,Female,77,4,2,Healthcare Representative,2,Married,32388,97164,8,Y,Yes,12,4,3,80,2,13,2,2,1,1,1,1
20,No,Travel_Frequently,1009,Research & Development,16,4,Marketing,1,4770,1,Male,97,4,2,Research Scientist,4,Single,39427,39427,8,Y,No,5,3,2,80,2,17,5,4,12,8,7,10
58,Yes,Non-Travel,222,Research & Development,18,1,Human Resources,1,4771,4,Female,66,3,3,Research Scientist,1,Married,6558,52464,4,Y,No,24,2,2,80,1,23,3,1,16,15,5,5
27,Yes,Travel_Frequently,1134,Software,20,1,Medical,1,4772,2,Male,184,1,2,Manager,2,Single,28323,169938,2,Y,Yes,13,2,2,80,4,13,3,3,6,4,5,1
31,Yes,Non-Travel,394,Support,48,4,Other,1,4773,1,Female,126,2,3,Research Director,4,Single,42948,171792,5,Y,No,16,2,3,80,3,35,3,1,2,1,1,1
26,Yes,Travel_Frequently,1423,Hardware,28,4,Life Sciences,1,4774,1,Female,34,2,2,Research Director,1,Single,21128,274664,5,Y,No,17,2,4,80,1,33,2,3,14,7,3,9
45,Yes,Travel_Frequently,419,Hardware,26,2,Marketing,1,4775,4,Female,58,3,4,Manager,1,Divorced,12962,64810,6,Y,Yes,13,2,2,80,3,28,4,4,22,17,20,14
60,Yes,Non-Travel,1153,Support,4,2,Medical,1,4776,3,Female,190,1,3,Research Director,1,Single,8184,98208,4,Y,No,19,4,1,80,2,4,4,4,2,2,2,2
53,Yes,Travel_Frequently,164,Sales,29,3,Marketing,1,4777,2,Male,147,4,1,Manufacturing Director,3,Married,19964,279496,3,Y,Yes,44,2,2,80,1,34,2,4,32,12,10,15
24,Yes,Travel_Rarely,1250,Human Resources,22,4,Human Resources,1,4778,4,Female,160,1,3,Research Scientist,2,Married,7070,205030,6,Y,Yes,42,3,1,80,4,33,2,4,8,1,4,7
38,No,Non-Travel,331,Human Resources,3,4,Medical,1,4779,3,Female,80,2,3,Human Resources,1,Married,28946,463136,3,Y,No,39,4,3,80,2,39,6,1,2,2,1,2
20,Yes,Travel_Frequently,348,Research & Development,3,4,Marketing,1,4780,1,Female,141,1,2,Human Resources,1,Single,24589,663903,2,Y,Yes,48,2,4,80,1,9,3,4,5,1,1,5
22,No,Non-Travel,876,Sales,18,2,Technical Degree,1,4781,1,Male,80,1,2,Research Scientist,3,Single,38567,385670,6,Y,No,19,3,3,80,2,18,6,3,18,16,5,14
34,No,Travel_Frequently,473,Support,37,1,Life Sciences,1,4782,4,Male,138,3,5,Manager,3,Married,46296,185184,3,Y,Yes,40,4,1,80,4,26,6,4,16,14,11,14
23,No,Travel_Frequently,1134,Sales,45,4,Life Sciences,1,4783,3,Male,40,4,5,Research Scientist,4,Married,19022,380440,0,Y,No,13,3,3,80,3,3,5,2,3,3,1,2
56,Yes,Travel_Frequently,270,Hardware,9,1,Medical,1,4784,2,Female,193,1,2,Sales Executive,3,Divorced,45748,731968,2,Y,Yes,13,2,1,80,3,29,5,3,15,15,14,11
19,No,Non-Travel,1052,Sales,11,5,Human Resources,1,4785,1,Female,133,4,3,Developer,2,Divorced,1670,11690,7,Y,No,16,3,3,80,2,25,1,2,21,11,21,16
34,Yes,Non-Travel,216,Hardware,26,1,Life Sciences,1,4786,1,Male,136,1,2,Sales Executive,2,Single,18174,327132,3,Y,No,28,2,2,80,1,11,3,3,11,3,10,8
54,Yes,Non-Travel,531,Human Resources,33,1,Medical,1,4787,2,Male,128,1,3,Sales Executive,4,Married,18845,358055,0,Y,Yes,13,1,4,80,3,37,2,2,31,30,26,21
24,No,Travel_Rarely,1237,Human Resources,19,4,Human Resources,1,4788,3,Male,89,1,1,Human Resources,1,Married,5740,40180,2,Y,No,11,4,4,80,2,37,2,3,12,8,10,6
18,No,Non-Travel,1203,Support,40,4,Technical Degree,1,4789,4,Female,136,2,2,Sales Executive,2,Divorced,4815,9630,7,Y,No,10,3,1,80,3,32,2,2,24,24,22,23
55,Yes,Travel_Frequently,880,Sales,14,2,Other,1,4790,4,Female,66,1,5,Manager,4,Married,44111,705776,7,Y,Yes,26,3,4,80,3,17,2,1,10,6,4,10
33,Yes,Travel_Frequently,1312,Research & Development,31,3,Marketing,1,4791,2,Male,95,2,1,Manufacturing Director,2,Married,31303,406939,6,Y,No,8,2,4,80,4,11,3,2,3,2,1,3
22,No,Travel_Frequently,1346,Software,14,4,Human Resources,1,4792,2,Female,134,4,2,Research Director,1,Single,22482,539568,4,Y,No,32,1,2,80,3,15,4,3,9,6,4,9
40,No,Non-Travel,1355,Human Resources,32,3,Life Sciences,1,4793,4,Female,119,1,1,Manufacturing Director,1,Divorced,13516,270320,4,Y,Yes,45,2,3,80,3,39,2,2,4,4,3,4
34,No,Travel_Frequently,637,Human Resources,6,4,Medical,1,4794,2,Male,85,4,1,Developer,4,Married,11777,47108,7,Y,Yes,24,3,4,80,3,15,6,1,1,1,1,1
27,Yes,Travel_Frequently,643,Support,48,4,Medical,1,4795,4,Female,122,4,2,Research Scientist,1,Single,35118,597006,1,Y,No,13,2,4,80,3,11,1,1,2,2,2,1
30,No,Non-Travel,1440,Human Resources,10,4,Human Resources,1,4796,4,Male,175,4,1,Developer,3,Divorced,28198,225584,3,Y,No,24,3,4,80,2,39,6,2,13,9,13,7
18,No,Travel_Frequently,324,Sales,26,5,Marketing,1,4797,1,Male,91,2,3,Human Resources,1,Single,3096,15480,1,Y,Yes,10,2,1,80,1,40,6,3,9,7,8,3
58,Yes,Non-Travel,1272,Software,19,2,Medical,1,4798,3,Female,89,3,4,Sales Representative,4,Married,11816,118160,2,Y,No,1,1,3,80,3,8,5,4,5,1,4,4
60,No,Non-Travel,738,Human Resources,14,2,Marketing,1,4799,3,Male,180,4,2,Manager,4,Single,5933,112727,6,Y,Yes,44,4,4,80,3,18,6,2,16,6,16,2
28,No,Non-Travel,628,Sales,13,1,Life Sciences,1,4800,2,Male,146,3,3,Healthcare Representative,2,Married,12385,74310,3,Y,Yes,22,4,2,80,3,9,3,2,1,1,1,1
50,Yes,Travel_Rarely,952,Support,4,3,Life Sciences,1,4801,2,Female,193,3,3,Research Scientist,1,Married,11043,320247,4,Y,No,29,1,4,80,4,5,3,2,2,2,1,1
20,Yes,Travel_Frequently,366,Software,21,3,Medical,1,4802,2,Male,124,1,5,Research Director,2,Married,37073,74146,1,Y,No,15,4,2,80,1,15,4,4,6,1,4,3
21,No,Travel_Frequently,245,Hardware,13,4,Human Resources,1,4803,1,Female,127,4,4,Healthcare Representative,1,Married,49909,698726,5,Y,No,35,3,4,80,2,30,1,2,21,21,21,20
52,Yes,Travel_Rarely,543,Support,43,2,Marketing,1,4804,2,Female,154,2,3,Laboratory Technician,3,Married,27289,327468,1,Y,Yes,46,4,1,80,3,39,5,3,36,15,27,36
30,No,Non-Travel,275,Support,31,4,Human Resources,1,4805,2,Male,46,3,2,Manufacturing Director,2,Divorced,1842,53418,0,Y,No,14,1,4,80,2,32,6,2,18,1,9,2
58,No,Non-Travel,649,Human Resources,31,5,Technical Degree,1,4806,1,Male,147,4,2,Manager,1,Divorced,44307,443070,8,Y,Yes,2,2,4,80,2,15,4,4,3,3,2,1
45,No,Non-Travel,1410,Hardware,36,5,Technical Degree,1,4807,3,Female,188,1,1,Research Scientist,3,Divorced,49819,398552,3,Y,No,30,1,3,80,4,7,6,3,2,2,2,1
29,Yes,Non-Travel,165,Software,15,2,Other,1,4808,4,Male,95,4,5,Research Director,3,Divorced,5863,152438,1,Y,Yes,4,4,2,80,3,8,5,1,8,8,2,5
58,No,Travel_Rarely,1058,Human Resources,15,4,Human Resources,1,4809,1,Female,189,2,5,Research Scientist,1,Single,44326,886520,8,Y,No,26,3,4,80,2,28,2,4,5,3,5,3
18,No,Non-Travel,1479,Software,38,5,Other,1,4810,1,Female,171,2,2,Laboratory Technician,1,Single,28413,738738,2,Y,No,34,2,1,80,1,31,2,1,22,14,16,22
47,No,Non-Travel,774,Hardware,40,1,Life Sciences,1,4811,4,Male,103,2,3,Human Resources,3,Single,23642,141852,2,Y,No,21,2,3,80,2,11,5,4,7,4,3,1
25,Yes,Non-Travel,781,Human Resources,36,1,Other,1,4812,4,Female,157,4,1,Research Director,1,Divorced,42246,1013904,5,Y,No,7,1,3,80,1,6,5,1,2,2,2,1
44,No,Non-Travel,1273,Research & Development,23,4,Medical,1,4813,1,Female,144,2,2,Sales Executive,4,Single,1516,45480,3,Y,Yes,8,4,3,80,3,2,3,4,2,2,1,1
44,Yes,Travel_Rarely,487,Hardware,24,2,Marketing,1,4814,1,Female,112,2,4,Laboratory Technician,4,Single,9138,265002,0,Y,No,0,2,4,80,4,15,6,3,8,2,7,1
41,Yes,Travel_Rarely,1232,Software,24,3,Technical Degree,1,4815,3,Female,38,4,4,Research Scientist,4,Married,45654,1323966,5,Y,Yes,14,1,3,80,4,5,5,4,1,1,1,1
60,No,Non-Travel,101,Software,14,1,Human Resources,1,4816,3,Female,183,3,1,Sales Executive,2,Divorced,34726,347260,5,Y,No,5,4,4,80,3,26,2,1,5,2,4,4
52,Yes,Non-Travel,721,Human Resources,10,2,Technical Degree,1,4817,4,Female,114,1,5,Manager,2,Married,32968,32968,1,Y,Yes,22,3,1,80,2,8,1,4,8,4,7,2
19,Yes,Non-Travel,1170,Support,6,4,Technical Degree,1,4818,1,Male,197,3,5,Research Scientist,1,Divorced,30304,363648,3,Y,Yes,36,3,2,80,4,31,1,4,16,3,16,6
41,Yes,Non-Travel,627,Sales,14,2,Other,1,4819,4,Female,162,4,3,Developer,4,Married,30024,810648,5,Y,No,43,2,4,80,1,22,4,4,7,7,4,6
34,No,Non-Travel,732,Hardware,32,4,Marketing,1,4820,2,Female,92,2,2,Laboratory Technician,2,Married,41211,1071486,8,Y,No,26,4,4,80,3,32,5,3,14,7,1,12
57,No,Travel_Frequently,1019,Hardware,14,5,Life Sciences,1,4821,1,Male,151,1,1,Developer,1,Single,9614,76912,6,Y,Yes,1,4,1,80,2,12,2,2,11,2,10,11
47,Yes,Non-Travel,1229,Hardware,40,2,Medical,1,4822,3,Female,36,4,4,Research Director,4,Single,21520,538000,1,Y,Yes,28,1,1,80,1,1,1,4,1,1,1,1
56,Yes,Travel_Frequently,316,Sales,15,2,Other,1,4823,1,Male,101,1,1,Human Resources,2,Married,26908,134540,2,Y,No,8,1,1,80,3,18,5,3,1,1,1,1
39,Yes,Travel_Frequently,779,Support,23,1,Technical Degree,1,4824,1,Male,176,4,1,Developer,3,Married,47194,330358,3,Y,Yes,32,4,4,80,4,28,5,3,22,5,11,12
55,No,Travel_Frequently,321,Hardware,12,5,Marketing,1,4825,2,Female,64,3,1,Research Director,2,Single,41106,945438,7,Y,Yes,13,3,1,80,3,20,2,4,6,4,3,6
45,Yes,Travel_Rarely,859,Software,32,3,Human Resources,1,4826,1,Male,145,4,4,Research Scientist,3,Married,22408,201672,7,Y,Yes,24,3,2,80,2,29,3,2,24,1,15,5
56,Yes,Travel_Rarely,1462,Support,18,4,Life Sciences,1,4827,1,Female,142,4,2,Developer,3,Divorced,31041,248328,4,Y,No,20,2,2,80,4,22,2,4,16,7,9,3
42,Yes,Travel_Rarely,223,Research & Development,25,1,Technical Degree,1,4828,2,Male,74,2,5,Research Scientist,2,Divorced,46227,1063221,1,Y,No,38,3,4,80,3,30,2,3,9,8,4,7
51,Yes,Travel_Rarely,1001,Research & Development,33,4,Human Resources,1,4829,3,Male,44,3,4,Research Director,4,Single,15662,438536,1,Y,No,43,1,2,80,1,6,6,1,2,2,1,2
31,Yes,Non-Travel,192,Support,17,1,Other,1,4830,1,Male,74,4,3,Healthcare Representative,1,Single,19318,77272,2,Y,No,3,4,1,80,2,6,5,4,2,1,2,1
34,No,Travel_Frequently,288,Support,29,3,Other,1,4831,4,Male,88,3,5,Laboratory Technician,4,Divorced,2834,68016,1,Y,Yes,11,1,1,80,4,12,5,2,3,1,1,1
51,Yes,Travel_Frequently,634,Sales,37,1,Other,1,4832,4,Male,175,1,4,Sales Executive,2,Single,32888,723536,5,Y,Yes,43,1,3,80,1,33,4,1,28,27,1,6
22,No,Travel_Frequently,876,Research & Development,47,5,Life Sciences,1,4833,4,Female,138,3,2,Research Director,3,Married,2406,24060,8,Y,No,26,3,1,80,3,16,3,1,11,3,2,2
39,No,Non-Travel,1287,Sales,2,1,Medical,1,4834,4,Male,186,1,4,Sales Representative,4,Single,44546,1024558,5,Y,No,22,3,1,80,4,31,2,2,20,13,18,9
31,Yes,Travel_Frequently,491,Hardware,5,4,Technical Degree,1,4835,3,Male,32,4,2,Research Scientist,2,Married,1963,21593,6,Y,Yes,1,3,3,80,1,1,5,1,1,1,1,1
34,No,Travel_Rarely,1031,Sales,37,3,Other,1,4836,2,Female,167,1,3,Human Resources,4,Married,8248,239192,3,Y,Yes,21,1,1,80,2,39,3,4,28,28,28,2
57,No,Non-Travel,190,Sales,49,4,Marketing,1,4837,3,Male,106,4,5,Healthcare Representative,2,Single,16217,356774,8,Y,Yes,6,2,2,80,2,37,1,1,36,25,31,12
43,Yes,Travel_Frequently,666,Support,13,4,Other,1,4838,1,Male,48,2,5,Manager,3,Married,38055,304440,5,Y,Yes,3,2,1,80,3,40,6,4,13,8,6,2
50,Yes,Non-Travel,781,Sales,50,4,Other,1,4839,1,Male,159,4,3,Healthcare Representative,3,Divorced,33467,836675,0,Y,Yes,36,4,2,80,3,15,2,2,8,1,3,5
20,No,Non-Travel,1103,Software,19,1,Marketing,1,4840,1,Female,186,3,3,Developer,2,Divorced,47841,1291707,3,Y,No,27,4,1,80,4,11,2,1,9,8,8,6
34,Yes,Non-Travel,537,Support,21,1,Medical,1,4841,3,Male,180,2,4,Manager,4,Divorced,45067,721072,6,Y,Yes,45,1,3,80,4,2,1,1,1,1,1,1
20,No,Travel_Frequently,414,Support,13,5,Technical Degree,1,4842,4,Female,118,2,2,Sales Executive,4,Married,21692,477224,3,Y,No,4,4,2,80,2,7,2,4,4,1,1,1
21,Yes,Non-Travel,993,Hardware,30,4,Marketing,1,4843,2,Female,60,3,3,Sales Executive,3,Single,6339,158475,5,Y,Yes,32,2,1,80,1,39,5,1,29,28,3,23
42,Yes,Travel_Rarely,573,Sales,38,2,Human Resources,1,4844,3,Female,129,3,1,Laboratory Technician,2,Single,32133,610527,4,Y,No,17,1,1,80,4,39,5,1,10,9,6,4
46,Yes,Travel_Frequently,1343,Human Resources,47,2,Other,1,4845,1,Male,151,4,4,Developer,1,Divorced,39869,438559,2,Y,No,5,4,4,80,3,1,1,4,1,1,1,1
23,Yes,Non-Travel,1412,Hardware,29,5,Technical Degree,1,4846,2,Male,53,4,3,Research Director,1,Divorced,35909,215454,6,Y,Yes,39,3,1,80,2,31,2,4,15,13,7,8
30,Yes,Travel_Rarely,135,Sales,44,1,Marketing,1,4847,4,Female,159,1,4,Manager,2,Single,4622,78574,3,Y,Yes,34,2,3,80,2,15,4,4,7,2,1,4
39,Yes,Travel_Frequently,316,Research & Development,18,2,Marketing,1,4848,4,Female,37,4,3,Research Scientist,4,Divorced,39489,513357,2,Y,Yes,27,3,3,80,4,29,4,1,23,16,6,7
57,Yes,Travel_Frequently,889,Software,44,4,Medical,1,4849,2,Female,38,4,4,Research Director,3,Divorced,16818,487722,4,Y,No,36,3,3,80,2,22,6,3,10,4,5,3
55,Yes,Travel_Rarely,1127,Human Resources,41,1,Marketing,1,4850,3,Female,139,1,4,Research Director,1,Divorced,38979,740601,3,Y,Yes,15,3,2,80,2,37,1,3,32,8,4,16
50,Yes,Travel_Rarely,399,Support,17,2,Other,1,4851,4,Female,92,3,4,Research Scientist,1,Divorced,21000,378000,8,Y,No,36,4,1,80,1,7,3,4,2,1,1,1
38,Yes,Travel_Frequently,1020,Research & Development,24,1,Other,1,4852,3,Female,177,2,2,Laboratory Technician,4,Divorced,1644,13152,5,Y,No,13,1,1,80,3,14,2,2,8,1,6,3
41,No,Non-Travel,497,Human Resources,5,1,Human Resources,1,4853,2,Male,122,4,2,Manager,2,Divorced,22237,177896,5,Y,No,26,1,4,80,3,22,1,4,17,15,14,15
35,No,Travel_Frequently,159,Human Resources,35,2,Marketing,1,4854,4,Female,197,2,2,Manager,1,Divorced,18716,93580,6,Y,No,34,3,3,80,4,6,4,4,2,1,2,2
26,Yes,Travel_Frequently,304,Sales,40,5,Human Resources,1,4855,2,Female,42,3,1,Manufacturing Director,3,Divorced,2895,26055,6,Y,No,19,3,1,80,1,21,5,3,8,4,5,5
39,No,Non-Travel,803,Support,46,4,Technical Degree,1,4856,3,Male,145,2,3,Manufacturing Director,4,Married,21673,628517,5,Y,Yes,13,1,1,80,1,23,4,2,12,1,10,3
53,Yes,Travel_Rarely,651,Support,4,5,Technical Degree,1,4857,1,Male,160,4,4,Sales Executive,4,Married,9920,198400,0,Y,No,21,4,4,80,2,13,5,3,11,9,11,2
31,No,Non-Travel,729,Sales,19,5,Human Resources,1,4858,2,Female,74,3,1,Research Director,2,Single,16694,367268,3,Y,Yes,49,2,1,80,1,11,4,3,8,7,2,7
47,No,Travel_Rarely,807,Human Resources,39,1,Technical Degree,1,4859,2,Male,62,4,4,Manager,2,Single,11059,66354,5,Y,Yes,39,1,3,80,3,27,1,1,12,8,8,1
40,No,Non-Travel,183,Software,43,3,Marketing,1,4860,4,Male,54,3,3,Laboratory Technician,1,Divorced,4455,17820,5,Y,Yes,9,3,3,80,3,11,5,2,8,3,5,2
46,Yes,Travel_Frequently,278,Software,16,2,Medical,1,4861,1,Male,182,1,2,Laboratory Technician,1,Single,30973,774325,0,Y,No,49,4,2,80,4,29,6,3,12,5,5,10
36,No,Travel_Rarely,1316,Hardware,48,1,Medical,1,4862,3,Female,173,2,5,Human Resources,3,Single,14967,389142,5,Y,Yes,46,2,1,80,3,29,2,1,18,10,8,13
29,Yes,Travel_Frequently,549,Support,48,5,Human Resources,1,4863,4,Female,126,2,4,Sales Executive,3,Divorced,40665,975960,3,Y,No,44,4,3,80,4,1,2,4,1,1,1,1
32,Yes,Non-Travel,389,Software,5,4,Human Resources,1,4864,2,Male,66,2,2,Laboratory Technician,4,Single,49644,1042524,5,Y,Yes,11,1,3,80,2,26,2,3,13,1,11,13
44,No,Non-Travel,578,Research & Development,44,2,Other,1,4865,3,Male,142,4,3,Research Director,1,Married,36164,433968,5,Y,No,7,3,4,80,3,29,3,1,10,8,8,5
54,No,Non-Travel,1450,Human Resources,15,5,Technical Degree,1,4866,1,Male,147,1,5,Research Scientist,1,Single,35283,740943,5,Y,Yes,23,1,2,80,3,3,3,3,1,1,1,1
38,Yes,Non-Travel,1267,Support,42,2,Medical,1,4867,3,Male,55,1,4,Research Scientist,1,Divorced,4908,68712,4,Y,No,39,3,1,80,2,9,5,3,4,2,4,4
46,Yes,Travel_Rarely,627,Human Resources,19,4,Medical,1,4868,2,Male,132,4,2,Human Resources,3,Married,7141,142820,2,Y,No,48,2,1,80,4,40,1,2,9,3,1,3
30,Yes,Travel_Frequently,796,Sales,15,1,Life Sciences,1,4869,1,Male,110,1,5,Manufacturing Director,1,Married,40760,122280,1,Y,No,22,3,3,80,1,14,5,2,13,8,1,11
22,No,Non-Travel,1256,Research & Development,4,2,Technical Degree,1,4870,1,Female,30,3,1,Manager,3,Married,50809,406472,1,Y,No,43,2,1,80,1,25,4,3,2,1,1,1
32,Yes,Travel_Rarely,939,Human Resources,42,5,Other,1,4871,1,Male,158,2,5,Research Scientist,1,Single,31091,746184,6,Y,No,24,4,3,80,3,26,5,2,24,19,9,13
42,No,Non-Travel,1297,Hardware,9,4,Human Resources,1,4872,4,Female,117,2,2,Laboratory Technician,4,Single,45056,1171456,0,Y,Yes,25,3,4,80,4,21,4,2,10,7,7,6
50,No,Travel_Frequently,1358,Software,34,3,Marketing,1,4873,2,Female,181,1,3,Laboratory Technician,1,Divorced,1875,15000,0,Y,No,5,2,2,80,3,20,5,4,6,6,2,4
49,Yes,Non-Travel,1339,Sales,2,2,Medical,1,4874,4,Male,39,4,3,Human Resources,2,Married,10345,41380,1,Y,No,48,4,3,80,3,19,5,1,5,2,5,3
39,No,Non-Travel,1292,Software,20,2,Human Resources,1,4875,1,Female,53,2,5,Manufacturing Director,3,Single,19224,538272,7,Y,Yes,38,4,2,80,1,38,1,1,16,11,11,14
60,No,Travel_Frequently,558,Software,26,4,Technical Degree,1,4876,3,Female,137,4,3,Research Director,4,Single,30186,211302,3,Y,No,39,3,1,80,1,15,2,4,15,6,15,5
34,Yes,Non-Travel,342,Sales,3,1,Life Sciences,1,4877,1,Female,72,2,1,Sales Executive,1,Married,8311,49866,0,Y,Yes,39,1,1,80,1,18,5,3,9,2,8,4
54,No,Non-Travel,227,Human Resources,31,4,Life Sciences,1,4878,3,Male,86,1,3,Research Director,1,Divorced,25045,726305,1,Y,Yes,29,4,1,80,3,32,1,2,24,14,24,4
46,No,Non-Travel,253,Research & Development,30,1,Medical,1,4879,4,Male,77,4,3,Research Director,2,Single,13114,170482,5,Y,No,15,2,1,80,2,6,1,4,3,2,3,1
46,No,Travel_Frequently,1045,Sales,11,3,Life Sciences,1,4880,4,Female,92,4,5,Laboratory Technician,3,Married,20972,104860,1,Y,Yes,12,1,1,80,1,6,1,1,2,1,2,2
59,Yes,Non-Travel,112,Human Resources,50,2,Medical,1,4881,4,Male,135,3,1,Manufacturing Director,4,Married,32906,230342,1,Y,No,10,4,2,80,1,11,5,2,2,1,2,1
32,No,Travel_Frequently,566,Human Resources,34,2,Medical,1,4882,4,Male,172,3,5,Human Resources,3,Single,17637,493836,4,Y,No,13,4,1,80,3,10,5,2,8,5,3,3
32,No,Travel_Rarely,154,Support,38,3,Other,1,4883,1,Female,189,3,2,Manager,4,Divorced,33961,237727,7,Y,Yes,11,3,1,80,1,27,5,2,16,5,4,9
24,No,Travel_Rarely,132,Software,13,1,Technical Degree,1,4884,1,Male,85,4,3,Laboratory Technician,3,Single,22979,183832,7,Y,No,33,3,1,80,4,12,5,1,1,1,1,1
59,No,Non-Travel,294,Software,23,1,Other,1,4885,2,Male,194,1,2,Sales Executive,1,Divorced,47372,1042184,1,Y,No,15,1,3,80,2,27,5,1,23,14,12,6
59,Yes,Travel_Rarely,252,Sales,29,5,Human Resources,1,4886,2,Male,159,3,4,Manager,1,Divorced,34137,648603,8,Y,No,15,3,1,80,1,30,5,3,29,24,1,28
44,No,Non-Travel,883,Support,29,1,Technical Degree,1,4887,2,Female,104,1,1,Manager,1,Married,26454,661350,3,Y,Yes,33,2,2,80,3,33,1,1,13,8,3,13
31,No,Non-Travel,149,Software,26,1,Medical,1,4888,4,Male,36,3,2,Human Resources,1,Married,6858,61722,3,Y,No,11,3,1,80,3,10,1,3,8,3,4,5
60,Yes,Travel_Rarely,901,Hardware,46,5,Medical,1,4889,2,Male,123,2,4,Sales Executive,4,Married,49644,843948,5,Y,Yes,23,4,2,80,2,2,5,4,2,2,2,2
54,Yes,Travel_Rarely,727,Human Resources,23,3,Medical,1,4890,3,Female,82,2,5,Sales Representative,2,Single,18073,524117,5,Y,Yes,0,3,3,80,2,18,6,1,8,1,4,4
36,Yes,Travel_Rarely,386,Software,11,3,Human Resources,1,4891,1,Female,153,1,3,Sales Representative,2,Married,17358,416592,7,Y,Yes,36,1,3,80,3,19,1,4,1,1,1,1
54,No,Travel_Frequently,751,Sales,32,1,Marketing,1,4892,1,Male,196,1,1,Manager,3,Divorced,38817,194085,1,Y,Yes,47,4,4,80,4,11,1,3,1,1,1,1
49,Yes,Travel_Rarely,214,Research & Development,35,5,Life Sciences,1,4893,4,Female,136,4,4,Manager,2,Married,3719,59504,7,Y,Yes,6,3,1,80,1,31,5,2,12,2,9,6
29,No,Travel_Frequently,220,Research & Development,42,4,Medical,1,4894,1,Female,169,4,2,Manager,4,Married,47200,944000,8,Y,No,2,2,2,80,1,38,6,2,31,9,5,19
18,No,Travel_Rarely,1125,Software,43,5,Technical Degree,1,4895,2,Male,141,3,4,Laboratory Technician,1,Divorced,36614,585824,5,Y,Yes,34,3,1,80,2,38,3,2,14,14,9,9
23,No,Non-Travel,1425,Support,9,2,Marketing,1,4896,4,Female,156,1,4,Research Director,3,Single,23590,377440,4,Y,No,11,1,1,80,3,38,5,3,35,17,4,30
55,Yes,Travel_Frequently,1414,Sales,30,3,Human Resources,1,4897,3,Female,91,2,3,Sales Executive,4,Divorced,42005,462055,5,Y,No,27,3,1,80,2,30,4,3,9,2,6,1
42,No,Travel_Frequently,1337,Hardware,15,5,Life Sciences,1,4898,3,Male,47,2,1,Research Scientist,1,Single,32721,490815,3,Y,No,16,1,4,80,3,31,4,1,9,6,5,4
36,Yes,Travel_Rarely,1478,Hardware,23,4,Other,1,4899,4,Female,124,4,5,Manufacturing Director,2,Single,50932,407456,5,Y,Yes,17,2,4,80,1,9,6,3,6,6,1,6
34,Yes,Travel_Frequently,163,Sales,8,5,Human Resources,1,4900,4,Male,130,2,3,Manufacturing Director,3,Divorced,9902,128726,2,Y,No,38,2,4,80,3,33,5,1,28,25,21,21
40,Yes,Travel_Rarely,1349,Human Resources,38,2,Marketing,1,4901,1,Male,30,1,1,Research Scientist,2,Married,30159,784134,5,Y,Yes,41,4,1,80,4,7,2,2,6,2,6,1
37,No,Non-Travel,797,Sales,33,4,Technical Degree,1,4902,4,Male,45,3,3,Developer,2,Divorced,31006,465090,2,Y,No,47,3,4,80,3,9,3,3,6,3,2,6
48,No,Travel_Rarely,1489,Support,35,2,Human Resources,1,4903,1,Female,30,1,1,Sales Representative,2,Single,9880,39520,4,Y,No,37,3,4,80,1,13,1,2,9,2,4,4
18,Yes,Travel_Frequently,879,Support,28,1,Technical Degree,1,4904,4,Male,52,2,4,Manager,3,Divorced,8446,33784,0,Y,Yes,32,1,4,80,2,7,6,3,1,1,1,1
44,Yes,Travel_Rarely,676,Research & Development,39,3,Technical Degree,1,4905,2,Female,78,1,2,Developer,2,Married,44437,133311,2,Y,Yes,12,1,4,80,1,26,5,1,6,1,3,1
39,Yes,Travel_Rarely,531,Research & Development,9,5,Technical Degree,1,4906,2,Female,143,2,4,Manager,1,Married,17808,338352,7,Y,Yes,16,4,3,80,1,6,3,3,4,2,3,2
51,Yes,Non-Travel,578,Sales,10,2,Marketing,1,4907,3,Male,182,1,5,Research Director,2,Married,4484,121068,5,Y,Yes,6,3,1,80,1,2,2,3,1,1,1,1
24,No,Non-Travel,165,Research & Development,19,1,Technical Degree,1,4908,1,Male,91,3,3,Sales Representative,3,Single,22342,268104,5,Y,Yes,33,1,3,80,1,5,6,1,4,2,3,1
53,Yes,Non-Travel,328,Support,1,4,Life Sciences,1,4909,1,Female,52,4,1,Sales Representative,2,Single,11532,57660,4,Y,Yes,40,2,4,80,2,17,6,3,12,9,10,9
51,No,Travel_Frequently,917,Human Resources,10,2,Marketing,1,4910,1,Male,160,4,2,Research Director,2,Married,24985,249850,8,Y,No,44,4,1,80,1,17,2,3,7,6,6,5
20,Yes,Non-Travel,1191,Software,3,1,Technical Degree,1,4911,1,Male,150,2,5,Laboratory Technician,1,Married,38317,613072,3,Y,Yes,0,2,4,80,2,32,2,2,5,1,3,3
